X,Y,Z
437696.9680,86913.5836,0.0000
437701.0301,86913.0450,0.0000
437705.4651,86910.9734,0.0000
437689.4225,86906.3732,0.0000
437691.7454,86909.9790,0.0000
437693.9836,86912.5063,0.0000
437075.2882,87131.4342,5.5000
437088.5987,87155.1841,5.5000
437094.8026,87151.4551,5.5000
437097.2606,87147.5199,5.5000
437630.8581,87063.0182,0.0000
437072.5980,87134.6375,5.5000
437072.1313,87139.6226,5.5000
437098.1217,87142.5885,5.5000
437090.4902,87128.1411,5.5000
437083.5289,87127.4870,5.5000
437078.7669,87128.2492,5.5000
437098.0065,87139.1566,5.5000
437095.9471,87134.2370,5.5000
437093.2408,87130.1860,5.5000
437708.0627,86909.7600,0.0000
437690.2797,86903.2684,0.0000
437691.0846,86904.7737,0.0000
437692.9022,86906.0196,0.0000
437682.2305,86897.9996,0.0000
437685.2424,86899.8164,0.0000
437687.4845,86901.1688,0.0000
437696.1998,86906.2791,0.0000
437704.0672,86898.7783,0.0000
437704.0672,86896.1309,0.0000
437703.3662,86893.1721,0.0000
437699.1079,86905.3707,0.0000
437702.3276,86903.3722,0.0000
437703.6258,86901.1142,0.0000
437680.5167,86896.3126,0.0000
437711.1437,86893.6547,0.0000
437709.7344,86890.4644,0.0000
437706.4185,86887.5641,0.0000
437710.4805,86906.4158,0.0000
437711.8484,86901.8583,0.0000
437711.9313,86897.7150,0.0000
437702.5222,86885.7826,0.0000
437681.6835,86885.4537,0.0000
437679.2185,86892.2118,0.0000
437679.6599,86894.6515,0.0000
437697.1338,86884.3324,0.0000
437691.7454,86883.9181,0.0000
437686.8958,86884.0838,0.0000
437624.0047,87054.9345,0.5000
437660.7728,86896.3644,0.5000
437660.1082,86898.1597,0.5000
437659.5763,86899.9863,0.5000
437663.5212,86891.3086,0.5000
437662.4833,86892.9246,0.5000
437661.5658,86894.6146,0.5000
437659.1731,86901.8328,0.5000
437658.3779,86909.3455,0.5000
437658.2592,86911.2394,0.5000
437658.1245,86913.1333,0.5000
437658.8766,86903.6952,0.5000
437658.6617,86905.5702,0.5000
437658.5038,86907.4547,0.5000
437664.6753,86889.7808,0.5000
437680.3792,86879.4723,0.5000
437678.6302,86880.2491,0.5000
437676.9196,86881.0701,0.5000
437685.8043,86877.7760,0.5000
437683.9729,86878.1954,0.5000
437682.1623,86878.7743,0.5000
437675.2408,86881.9289,0.5000
437668.7883,86885.8592,0.5000
437667.3157,86887.0473,0.5000
437665.9415,86888.3557,0.5000
437673.5841,86882.8273,0.5000
437671.9445,86883.7697,0.5000
437670.3386,86884.7736,0.5000
437657.9764,86915.0253,0.5000
437664.3408,86948.3890,0.5000
437664.5299,86950.2213,0.5000
437664.5553,86952.0542,0.5000
437663.0384,86942.8906,0.5000
437663.5703,86944.7240,0.5000
437664.0127,86946.5567,0.5000
437664.3934,86953.8876,0.5000
437662.0070,86961.0622,0.5000
437661.0557,86962.7620,0.5000
437659.9947,86964.4025,0.5000
437664.0419,86955.7159,0.5000
437663.5162,86957.5283,0.5000
437662.8325,86959.3140,0.5000
437662.4416,86941.0561,0.5000
437657.7454,86922.5559,0.5000
437657.8907,86924.4252,0.5000
437658.1300,86926.2890,0.5000
437657.8395,86916.9145,0.5000
437657.7387,86918.7999,0.5000
437657.6990,86920.6807,0.5000
437658.4569,86928.1478,0.5000
437660.5093,86935.5416,0.5000
437661.1523,86937.3820,0.5000
437661.8047,86939.2200,0.5000
437658.8652,86930.0019,0.5000
437659.3485,86931.8520,0.5000
437659.9003,86933.6984,0.5000
437687.6500,86877.5556,0.5000
437726.5309,86837.2273,0.5000
437724.6667,86837.0661,0.5000
437722.7684,86837.1087,0.5000
437731.7804,86838.9239,0.5000
437730.0884,86838.1740,0.5000
437728.3413,86837.5988,0.5000
437720.8555,86837.3484,0.5000
437713.6900,86840.2560,0.5000
437712.4171,86841.5765,0.5000
437711.5343,86843.1806,0.5000
437718.9479,86837.7786,0.5000
437717.0670,86838.3934,0.5000
437715.2775,86839.2073,0.5000
437733.4273,86839.8172,0.5000
437749.4297,86850.2904,0.5000
437747.7761,86849.3914,0.5000
437746.1375,86848.4554,0.5000
437754.4636,86852.8517,0.5000
437752.7752,86852.0119,0.5000
437751.0967,86851.1610,0.5000
437744.5159,86847.4736,0.5000
437738.1955,86843.0449,0.5000
437736.6249,86841.9090,0.5000
437735.0388,86840.8227,0.5000
437742.9129,86846.4374,0.5000
437741.3296,86845.3403,0.5000
437739.7604,86844.1991,0.5000
437710.9947,86844.9987,0.5000
437706.5384,86876.0785,0.5000
437704.7848,86876.8189,0.5000
437702.9406,86877.3638,0.5000
437710.9879,86872.5410,0.5000
437709.6669,86873.9438,0.5000
437708.1746,86875.1257,0.5000
437701.0323,86877.7305,0.5000
437693.2732,86877.7876,0.5000
437691.3809,86877.6294,0.5000
437689.5077,86877.5287,0.5000
437699.0866,86877.9360,0.5000
437697.1300,86877.9975,0.5000
437695.1885,86877.9333,0.5000
437712.1097,86870.9570,0.5000
437710.9483,86852.7500,0.5000
437711.4069,86854.5529,0.5000
437712.0899,86856.3037,0.5000
437710.7261,86846.9441,0.5000
437710.6566,86848.9303,0.5000
437710.7228,86850.8757,0.5000
437712.8231,86858.0613,0.5000
437713.9975,86865.5338,0.5000
437713.6425,86867.4118,0.5000
437713.0039,86869.2334,0.5000
437713.4352,86859.8763,0.5000
437713.8596,86861.7421,0.5000
437714.0594,86863.6357,0.5000
437581.6005,87007.8312,0.5000
437583.0432,87009.0440,0.5000
437584.5547,87010.1241,0.5000
437577.5504,87003.6362,0.5000
437578.8676,87005.1035,0.5000
437580.2131,87006.5098,0.5000
437586.1486,87011.0479,0.5000
437593.3688,87013.1590,0.5000
437595.2468,87013.5498,0.5000
437597.0789,87014.0256,0.5000
437587.8383,87011.7914,0.5000
437589.6268,87012.3503,0.5000
437591.4829,87012.7826,0.5000
437576.2481,87002.1318,0.5000
437568.3987,86985.4035,0.5000
437568.3238,86987.2846,0.5000
437568.4891,86989.1245,0.5000
437569.8235,86979.7957,0.5000
437569.1727,86981.6307,0.5000
437568.6897,86983.5094,0.5000
437568.9047,86990.9036,0.5000
437572.4767,86997.5133,0.5000
437573.6841,86999.0736,0.5000
437574.9521,87000.6108,0.5000
437569.5438,86992.6251,0.5000
437570.3739,86994.2960,0.5000
437571.3624,86995.9231,0.5000
437598.8273,87014.6570,0.5000
437624.7463,87036.5307,0.5000
437625.5700,87038.2400,0.5000
437626.1062,87040.0747,0.5000
437620.6586,87032.6742,0.5000
437622.2129,87033.7914,0.5000
437623.6112,87035.0484,0.5000
437626.3848,87041.9546,0.5000
437625.5723,87049.4855,0.5000
437625.0664,87051.3102,0.5000
437624.5280,87053.1224,0.5000
437626.4380,87043.8541,0.5000
437626.2982,87045.7542,0.5000
437625.9980,87047.6359,0.5000
